is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2022-05-31,16,24,30,31,57,370,0,0
2022-05-30,22,21,29,29,62,365,0,0
2022-05-29,20,21,28,31,66,363,0,0
2022-05-28,17,25,22,29,68,359,0,0
2022-05-27,17,20,18,30,67,360,0,0
2022-05-26,15,25,17,25,65,361,0,0
2022-05-25,22,26,29,30,64,362,0,0
2022-05-24,22,18,24,31,56,364,0,0
2022-05-23,22,12,23,38,54,366,0,0
2022-05-22,8,23,14,39,54,370,0,0
2022-05-21,19,25,15,38,54,368,0,0
2022-05-20,21,23,17,41,53,370,0,0
2022-05-19,21,15,21,42,48,370,0,0
2022-05-18,18,11,22,43,53,371,0,0
2022-05-17,11,11,25,34,51,372,0,0
2022-05-16,6,19,32,33,50,369,0,0
2022-05-15,11,22,33,33,48,366,0,0
2022-05-14,20,19,26,30,48,366,0,0
2022-05-13,15,27,20,31,46,366,0,0
2022-05-12,16,31,21,31,51,362,0,0
2022-05-11,25,23,23,33,57,358,0,0
2022-05-10,20,21,22,34,57,355,0,0
2022-05-09,14,21,17,36,66,351,0,0
2022-05-08,15,23,18,32,67,352,0,0
2022-05-07,21,23,22,32,69,350,0,0
2022-05-06,18,21,24,27,67,352,0,0
2022-05-05,15,27,29,28,71,350,0,0
2022-05-04,19,29,27,27,73,347,0,0
2022-05-03,20,28,24,24,72,347,0,0
2022-05-02,19,26,21,29,71,346,0,0
2022-05-01,17,27,16,27,74,341,0,0
2022-04-30,17,25,17,25,74,340,0,0
2022-04-29,21,24,14,23,77,336,0,0
2022-04-28,19,28,21,25,77,338,0,0
2022-04-27,18,19,16,26,72,337,0,0
2022-04-26,24,13,17,32,74,332,0,0
2022-04-25,8,14,16,40,68,335,0,0
2022-04-24,10,18,16,42,64,333,0,0
2022-04-23,12,17,16,45,65,336,0,0
2022-04-22,14,18,22,47,61,334,0,0
2022-04-21,14,19,19,51,65,331,0,0
2022-04-20,19,19,20,45,65,328,0,0
2022-04-19,11,21,23,43,64,329,0,0
2022-04-18,17,22,29,41,66,327,0,0
2022-04-17,16,20,31,35,65,326,0,0
2022-04-16,19,27,33,33,68,328,0,0
2022-04-15,18,31,33,30,74,326,0,0
2022-04-14,18,24,31,30,72,325,0,0
2022-04-13,24,27,24,29,72,326,0,0
2022-04-12,17,34,29,27,70,327,0,0
2022-04-11,29,29,26,32,64,331,0,0
2022-04-10,22,30,20,44,70,327,0,0
2022-04-09,26,31,16,43,70,325,0,0
2022-04-08,27,23,16,47,70,325,0,0
2022-04-07,19,26,19,43,68,324,0,0
2022-04-06,28,16,25,46,63,324,0,0
2022-04-05,20,16,27,48,60,327,0,0
2022-04-04,6,22,29,38,62,324,0,0
2022-04-03,14,19,35,39,61,323,0,0
2022-04-02,19,24,32,37,60,323,0,0
2022-04-01,19,24,36,36,57,321,0,0
2022-03-31,22,20,21,37,56,318,0,0
2022-03-30,16,29,26,40,56,324,0,0
2022-03-29,9,30,26,38,56,324,0,0
2022-03-28,27,25,26,39,58,323,0,0
2022-03-27,16,23,23,35,57,326,0,0
2022-03-26,19,19,25,38,51,326,0,0
2022-03-25,16,20,20,37,46,325,0,0
2022-03-24,17,19,22,35,51,324,0,0
2022-03-23,15,19,27,33,53,325,0,0
